,match_date,competition_name,competition_category,player_name,opponent_name,winner_flag,aces,breakpoints_won,double_faults,first_serve_points_won,first_serve_successful,games_won,max_games_in_a_row,max_points_in_a_row,points_won,points_spread,second_serve_points_won,second_serve_successful,service_games_won,service_points_lost,service_points_won,tiebreaks_won,total_breakpoints,first_serve_win_perc,second_serve_win_perc,breakpoint_conversion_perc,Month
26,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Ruse, Elena-Gabriela","Subasic, Alana",1,7,6,2,21,25,12,10,9,58,28,8,17,6,15,29,0,10,84.0,42.10526315789473,60.0,January 2026
27,2026-01-02,"WTA Brisbane, Australia Women Singles",WTA,"Subasic, Alana","Ruse, Elena-Gabriela",0,0,0,3,10,24,1,1,4,30,-28,2,9,1,29,15,0,7,41.666666666666664,16.666666666666664,0.0,January 2026
28,2026-01-02,United Cup,United Cup,Cervantes I / Cavalle-Reimers Y,Andreozzi G / Carle M L,0,3,2,2,25,42,8,2,4,54,-20,11,22,6,30,36,0,5,59.523809523809526,45.83333333333333,40.0,January 2026
29,2026-01-02,United Cup,United Cup,Andreozzi G / Carle M L,Cervantes I / Cavalle-Reimers Y,1,3,4,2,27,36,13,4,6,74,20,17,24,8,18,44,1,12,75.0,65.38461538461539,33.33333333333333,January 2026
30,2026-01-02,United Cup,United Cup,"Sakkari, Maria","Osaka, Naomi",1,3,5,0,27,41,12,4,5,64,9,7,17,7,24,34,0,9,65.85365853658537,41.17647058823529,55.55555555555556,January 2026
31,2026-01-02,United Cup,United Cup,"Osaka, Naomi","Sakkari, Maria",0,1,2,3,18,36,6,2,5,55,-9,13,22,4,30,31,0,4,50.0,52.0,50.0,January 2026
32,2026-01-02,United Cup,United Cup,"Tsitsipas, Stefanos","Mochizuki, Shintaro",1,8,3,2,28,42,12,3,8,63,8,11,17,9,22,39,0,8,66.66666666666667,57.89473684210527,37.5,January 2026
33,2026-01-02,United Cup,United Cup,"Mochizuki, Shintaro","Tsitsipas, Stefanos",0,1,1,3,22,30,7,2,5,55,-8,11,24,6,24,33,0,2,73.33333333333333,40.74074074074074,50.0,January 2026
34,2026-01-02,United Cup,United Cup,Sakkari M / Tsitsipas S,Uchiyama Y / Hibino N,1,6,3,1,28,33,12,3,7,58,23,8,10,9,8,36,0,11,84.84848484848484,72.72727272727273,27.27272727272727,January 2026
35,2026-01-02,United Cup,United Cup,Uchiyama Y / Hibino N,Sakkari M / Tsitsipas S,0,1,0,1,23,40,5,1,4,35,-23,4,8,5,22,27,0,1,57.5,44.44444444444444,0.0,January 2026
36,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Guo, Hanyu","Chwalinska, Maja",0,1,1,2,23,43,4,2,5,44,-20,4,14,3,31,27,0,4,53.48837209302326,25.0,25.0,January 2026
37,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Chwalinska, Maja","Guo, Hanyu",1,0,5,0,29,43,12,7,8,64,20,4,7,7,17,33,0,8,67.44186046511628,57.14285714285714,62.5,January 2026
38,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Romero Gormaz, Leyre","Knutson, Gabriela",0,1,2,3,15,25,7,2,5,55,-10,13,25,5,24,28,0,12,60.0,46.42857142857143,16.666666666666664,January 2026
39,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Knutson, Gabriela","Romero Gormaz, Leyre",1,2,4,4,27,43,12,5,7,65,10,14,21,8,27,41,0,5,62.7906976744186,56.00000000000001,80.0,January 2026
40,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Erjavec, Veronika","Das, Aishi",1,1,7,2,27,53,12,3,6,63,12,0,1,5,27,27,0,14,50.943396226415096,0.0,50.0,January 2026
41,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Das, Aishi","Erjavec, Veronika",0,0,4,6,23,58,7,2,5,51,-12,1,2,3,36,24,0,7,39.6551724137931,12.5,57.14285714285714,January 2026
42,2026-01-02,United Cup,United Cup,"Mertens, Elise","Zhu, Lin",1,5,6,2,18,26,12,4,7,56,22,12,20,6,18,30,0,8,69.23076923076923,54.54545454545454,75.0,January 2026
43,2026-01-02,United Cup,United Cup,"Zhu, Lin","Mertens, Elise",0,0,2,1,13,27,4,1,4,34,-22,3,14,2,26,16,0,5,48.148148148148145,20.0,40.0,January 2026
44,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Tse, Elyse","Costoulas, Sofia",0,1,0,2,11,23,1,1,3,27,-27,6,17,1,25,17,0,0,47.82608695652174,31.57894736842105,,January 2026
45,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Costoulas, Sofia","Tse, Elyse",1,2,5,1,25,28,12,7,7,54,27,4,10,7,10,29,0,8,89.28571428571429,36.36363636363637,62.5,January 2026
46,2026-01-02,"WTA Auckland, New Zealand Women Singles",WTA,"Mladenovic, Kristina","Friedsam, Anna-Lena",1,5,4,5,36,55,13,5,5,79,4,11,19,8,32,47,1,5,65.45454545454545,45.83333333333333,80.0,January 2026
