,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
41,"De Jong, Jesper",0,11,2,3,8,61,87,33,55,-20,0.7011494252873564,0.6,0.6666666666666666,83.0,183.0,183.0,189.5,112.0,59.5,23.5,119.07142857142857,129.0,2026-01-12
42,"Delaney, Jake",0,13,2,10,6,43,60,17,32,-12,0.7166666666666667,0.53125,0.2,68.5,163.0,183.0,151.5,97.0,123.5,190.5,139.57142857142858,162.0,2026-01-12
43,"Dellien, Hugo",0,1,0,3,1,25,46,8,13,-18,0.5434782608695652,0.6153846153846154,0.0,209.0,32.0,183.0,178.5,217.0,50.0,210.0,154.21428571428572,185.0,2026-01-12
44,"Den Ouden, Guy",0,1,1,4,2,29,38,14,26,-12,0.7631578947368421,0.5384615384615384,0.25,209.0,67.0,183.0,151.5,58.0,113.5,178.0,137.14285714285714,160.0,2026-01-12
45,"Diallo, Gabriel",1,18,5,16,5,89,123,31,53,9,0.7235772357723578,0.5849056603773585,0.3125,45.0,147.0,93.0,78.5,90.0,75.0,151.0,97.07142857142857,85.0,2026-01-12
46,"Diaz Acosta, Facundo",0,3,4,7,5,65,100,19,38,-16,0.65,0.5,0.5714285714285714,176.5,147.0,183.0,170.0,161.0,152.0,37.5,146.71428571428572,175.0,2026-01-12
47,"Dimitrov, Grigor",1,18,3,7,3,57,70,29,57,-1,0.8142857142857143,0.5087719298245614,0.42857142857142855,45.0,101.0,93.0,111.5,21.0,140.0,96.5,86.85714285714286,69.0,2026-01-12
48,"Djere, Laslo",2,11,5,18,8,87,127,38,66,-4,0.6850393700787402,0.5757575757575758,0.2777777777777778,83.0,183.0,36.0,117.0,126.0,85.5,165.0,113.64285714285714,123.0,2026-01-12
49,"Dodig, Matej",0,2,2,11,2,40,62,12,28,-13,0.6451612903225806,0.42857142857142855,0.18181818181818182,195.0,67.0,183.0,158.5,166.5,200.5,194.0,166.35714285714286,208.0,2026-01-12
50,"Droguet, Titouan",1,7,3,5,0,32,37,8,13,21,0.8648648648648649,0.6153846153846154,0.6,124.5,9.5,93.0,34.0,6.0,50.0,34.0,50.142857142857146,4.0,2026-01-12
51,"Duckworth, James",2,22,6,16,9,96,114,57,87,33,0.8421052631578947,0.6551724137931034,0.375,34.5,193.0,36.0,14.5,7.0,29.0,123.5,62.5,16.0,2026-01-12
52,Durasovic V / Eikeri U,0,3,1,12,3,56,89,10,21,-24,0.6292134831460674,0.47619047619047616,0.08333333333333333,176.5,101.0,183.0,206.5,172.0,175.0,201.0,173.57142857142858,215.0,2026-01-12
53,"Dzumhur, Damir",0,1,2,5,5,24,42,11,22,-10,0.5714285714285714,0.5,0.4,209.0,147.0,183.0,141.0,201.0,152.0,111.0,163.42857142857142,202.0,2026-01-12
54,"Echargui, Moez",0,3,1,2,1,24,35,12,24,-13,0.6857142857142857,0.5,0.5,176.5,32.0,183.0,158.5,125.0,152.0,66.5,127.64285714285714,149.0,2026-01-12
55,"Engel, Justin",0,10,0,3,4,49,63,12,26,-11,0.7777777777777778,0.46153846153846156,0.0,94.0,125.5,183.0,147.0,51.0,184.0,210.0,142.07142857142858,168.0,2026-01-12
56,"Etcheverry, Tomas Martin",1,18,5,15,0,71,100,28,50,2,0.71,0.56,0.3333333333333333,45.0,9.5,93.0,103.5,105.0,100.5,140.0,85.21428571428571,64.0,2026-01-12
57,"Evans, Daniel",0,1,0,0,4,13,25,11,23,-24,0.52,0.4782608695652174,,209.0,125.5,183.0,206.5,222.0,172.5,,186.41666666666666,225.0,2026-01-12
58,"Faria, Jaime",1,6,3,8,4,31,39,16,23,12,0.7948717948717948,0.6956521739130435,0.375,139.5,125.5,93.0,64.5,30.0,16.0,123.5,84.57142857142857,62.0,2026-01-12
59,"Fatic, Nerman",0,7,1,1,2,18,31,2,10,-18,0.5806451612903226,0.2,1.0,124.5,67.0,183.0,178.5,194.5,226.0,5.5,139.85714285714286,163.0,2026-01-12
60,"Fearnley, Jacob",1,28,7,17,21,106,158,43,69,-25,0.6708860759493671,0.6231884057971014,0.4117647058823529,19.0,225.5,93.0,210.5,144.0,44.0,102.5,119.78571428571429,132.0,2026-01-12
61,"Fery, Arthur",1,4,4,13,1,31,41,8,13,22,0.7560975609756098,0.6153846153846154,0.3076923076923077,161.5,32.0,93.0,33.0,65.0,50.0,154.0,84.07142857142857,61.0,2026-01-12
62,"Fritz, Taylor",1,57,3,17,9,166,210,65,121,-22,0.7904761904761904,0.5371900826446281,0.17647058823529413,6.0,193.0,93.0,197.5,37.0,115.0,195.0,119.5,131.0,2026-01-12
63,"Fucsovics, Marton",0,0,2,4,2,19,36,7,19,-19,0.5277777777777778,0.3684210526315789,0.5,221.5,67.0,183.0,184.0,220.0,218.5,66.5,165.78571428571428,207.0,2026-01-12
64,"Galarneau, Alexis",0,3,1,1,2,19,32,12,23,-15,0.59375,0.5217391304347826,1.0,176.5,67.0,183.0,165.5,190.0,133.0,5.5,131.5,154.0,2026-01-12
65,"Garin, Cristian",0,16,3,12,6,49,74,34,58,-26,0.6621621621621622,0.5862068965517241,0.25,58.0,163.0,183.0,212.0,150.0,73.5,178.0,145.35714285714286,171.0,2026-01-12
