,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
2989,"Siegemund, Laura",0,2.0,5.0,15.0,6.0,53.0,95.0,12.0,28.0,-23.0,0.5578947368421052,0.4285714285714285,0.3333333333333333,2709.0,1405.5,3127.0,3153.5,2865.5,3180.0,3064.0,2786.3571428571427,3616.0,February 2026,2026-07-02
3004,"Sierra, Solana",1,10.0,8.0,18.0,10.0,95.0,158.0,32.0,57.0,-22.0,0.6012658227848101,0.5614035087719298,0.4444444444444444,1158.0,2113.0,1982.0,3090.5,2145.0,1038.5,1920.5,1921.071428571429,1957.0,February 2026,2026-07-02
3020,"Siniakova, Katerina",1,2.0,12.0,28.0,10.0,91.0,162.0,26.0,51.0,-8.0,0.5617283950617284,0.5098039215686274,0.4285714285714285,2709.0,2113.0,1982.0,1985.0,2812.0,2009.0,2126.5,2248.0714285714284,2671.5,February 2026,2026-07-02
3034,"Siskova, Anna",1,6.0,9.0,18.0,6.0,66.0,110.0,17.0,25.0,-1.0,0.6,0.68,0.5,1727.0,1405.5,1982.0,1563.0,2173.0,109.5,1254.0,1459.142857142857,932.0,February 2026,2026-07-02
3054,"Snigur, Daria",4,4.0,23.0,44.0,5.0,133.0,211.0,22.0,43.0,55.0,0.6303317535545023,0.5116279069767442,0.5227272727272727,2126.5,1176.5,484.5,221.5,1546.0,1986.0,993.0,1219.142857142857,476.5,February 2026,2026-07-02
3071,"Sonmez, Zeynep",2,0.0,20.0,53.0,18.0,130.0,250.0,44.0,89.0,-39.0,0.52,0.4943820224719101,0.3773584905660377,3568.5,3031.5,1270.5,3666.0,3269.5,2343.5,2706.5,2836.5714285714284,3671.0,February 2026,2026-07-02
3089,"Sorribes Tormo, Sara",1,3.0,15.0,24.0,4.0,61.0,115.0,22.0,49.0,5.0,0.5304347826086957,0.4489795918367347,0.625,2388.5,923.0,1982.0,1246.5,3189.0,2981.5,388.0,1871.2142857142856,1844.0,February 2026,2026-07-02
3104,"Sramkova, Rebecca",3,29.0,33.0,78.0,20.0,262.0,449.0,54.0,116.0,-8.0,0.5835189309576837,0.4655172413793103,0.4230769230769231,228.0,3168.0,797.0,1985.0,2458.0,2767.0,2207.0,1944.2857142857144,2007.5,February 2026,2026-07-02
3119,"Stakusic, Marina",1,1.0,6.0,10.0,4.0,52.0,86.0,19.0,38.0,-10.0,0.6046511627906976,0.5,0.6,3086.0,923.0,1982.0,2134.5,2075.5,2212.5,497.0,1844.357142857143,1787.0,February 2026,2026-07-02
3131,"Starodubtseva, Yuliia",1,4.0,9.0,25.0,5.0,113.0,165.0,28.0,56.0,11.0,0.6848484848484848,0.5,0.36,2126.5,1176.5,1982.0,1022.0,560.0,2212.5,2855.5,1705.0,1490.0,February 2026,2026-07-02
3147,"Stearns, Peyton",6,41.0,38.0,85.0,36.0,304.0,511.0,108.0,205.0,48.0,0.5949119373776908,0.526829268292683,0.4470588235294118,86.0,3704.0,156.0,294.0,2267.0,1675.0,1874.5,1436.642857142857,890.0,February 2026,2026-07-02
