,player_name,total_wins,aces,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,points_spread,FS Win %,SS Win %,BP Conv %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,Month,last_refreshed
216,"Blockx, Alexander",4,27,20,56,13,210,293,94,170,27,0.7167235494880546,0.5529411764705883,0.35714285714285715,725.5,1868.0,352.0,371.0,990.0,1291.0,1352.5,992.8571428571429,692.0,June 2025,2026-01-28
217,"Blockx, Alexander",2,14,6,34,7,112,158,37,63,5,0.7088607594936709,0.5873015873015873,0.17647058823529413,1263.0,1264.5,870.0,813.5,1116.0,778.5,2219.0,1189.2142857142858,1105.0,March 2025,2026-01-28
218,"Blockx, Alexander",0,1,5,21,2,44,72,6,15,-1,0.6111111111111112,0.4,0.23809523809523808,2419.5,345.5,2088.0,1001.5,2191.0,2389.0,2059.0,1784.7857142857142,2285.0,May 2025,2026-01-28
219,"Blockx, Alexander",1,25,3,14,4,111,144,34,67,0,0.7708333333333334,0.5074626865671642,0.21428571428571427,788.0,758.5,1342.5,963.0,291.5,1844.0,2130.5,1159.7142857142858,1044.0,November 2025,2026-01-28
220,"Blockx, Alexander",1,14,4,18,5,64,87,21,39,5,0.735632183908046,0.5384615384615384,0.2222222222222222,1263.0,942.5,1342.5,813.5,708.5,1485.0,2112.0,1238.142857142857,1209.0,October 2025,2026-01-28
221,"Bolt, Alex",0,7,3,10,1,43,66,21,35,-1,0.6515151515151515,0.6,0.3,1732.5,169.0,2088.0,1001.5,1902.0,607.0,1772.5,1324.642857142857,1386.5,August 2025,2026-01-28
222,"Bolt, Alex",0,5,0,5,4,24,43,5,13,-24,0.5581395348837209,0.38461538461538464,0.0,1937.5,758.5,2088.0,2145.5,2403.0,2422.5,2389.5,2020.642857142857,2517.0,January 2025,2026-01-28
223,"Bolt, Alex",0,14,0,5,2,51,75,13,20,-8,0.68,0.65,0.0,1263.0,345.5,2088.0,1319.5,1553.5,196.0,2389.5,1307.857142857143,1353.0,January 2026,2026-01-28
224,"Bolt, Alex",0,7,1,2,5,56,78,19,32,-13,0.717948717948718,0.59375,0.5,1732.5,942.5,2088.0,1593.0,974.0,695.0,428.0,1207.5714285714287,1149.0,July 2025,2026-01-28
225,"Bolt, Alex",5,40,12,36,10,224,296,79,123,53,0.7567567567567568,0.6422764227642277,0.3333333333333333,411.5,1615.0,205.0,162.5,431.0,239.5,1548.5,659.0,113.0,June 2025,2026-01-28
226,"Bolt, Alex",0,3,6,8,0,49,83,13,32,-3,0.5903614457831325,0.40625,0.75,2166.0,47.5,2088.0,1086.0,2299.5,2376.0,66.0,1447.0,1654.0,May 2025,2026-01-28
227,"Bonding, Oliver",1,22,3,17,9,72,97,28,48,-13,0.7422680412371134,0.5833333333333334,0.17647058823529413,900.0,1513.5,1342.5,1593.0,616.5,837.0,2219.0,1288.7857142857142,1315.0,June 2025,2026-01-28
228,"Bonzi, Benjamin",2,17,13,26,10,149,226,69,110,21,0.6592920353982301,0.6272727272727273,0.5,1103.0,1615.0,870.0,456.0,1813.0,334.5,428.0,945.6428571428571,586.0,April 2025,2026-01-28
229,"Bonzi, Benjamin",5,44,22,62,26,343,489,169,294,-20,0.7014314928425358,0.5748299319727891,0.3548387096774194,350.0,2397.0,205.0,1972.0,1251.0,954.0,1372.5,1214.5,1167.0,August 2025,2026-01-28
230,"Bonzi, Benjamin",0,2,1,5,0,36,56,20,39,-8,0.6428571428571429,0.5128205128205128,0.2,2296.5,47.5,2088.0,1319.5,1976.0,1802.0,2167.0,1670.9285714285713,2127.0,February 2025,2026-01-28
231,"Bonzi, Benjamin",5,27,23,46,17,237,352,112,196,-3,0.6732954545454546,0.5714285714285714,0.5,725.5,2105.5,205.0,1086.0,1645.0,1014.0,428.0,1029.857142857143,768.5,January 2025,2026-01-28
