,player_name,Month,total_wins,total_matches,aces,aces_allowed,breakpoints_won,total_breakpoints,double_faults,first_serve_points_won,first_serve_successful,second_serve_points_won,second_serve_successful,breakpoints_allowed,breakpoints_saved,first_serve_return_points_won,first_serve_return_points_total,second_serve_return_points_won,second_serve_return_points_total,points_won,points_lost,points_spread,games_won,games_lost,games_spread,sets_won,sets_lost,sets_spread,tiebreaks_won,tiebreaks_lost,FS Win %,SS Win %,BP Conv %,Tiebreak Win %,BP Save %,FS Return Win %,SS Return Win %,Ace Rank,DF Rank,Total Win Rank,Point Spread Rank,FS Win Rank,SS Win Rank,BP Rank,Mean Ranks,Mean Ranks Ranked,last_refreshed
133,"Baptiste, Hailey",April 2025,2,4,18,0,9,37,16,111,154,57,91,19,10,120,177,42,42,284,278,6,44,45,-1,4,5,-1,1,0,0.7207792207792207,0.6263736263736264,0.24324324324324326,1.0,0.5263157894736842,0.6779661016949152,1.0,409.5,1933.0,873.5,828.5,155.0,196.0,2384.0,968.5,579.0,2026-01-28
134,"Baptiste, Hailey",August 2025,2,5,12,0,13,28,26,127,202,65,123,46,26,119,176,32,32,300,331,-31,45,56,-11,5,6,-1,1,0,0.6287128712871287,0.5284552845528455,0.4642857142857143,1.0,0.5652173913043478,0.6761363636363636,1.0,692.5,2377.0,873.5,2411.5,1131.5,1126.5,1165.5,1396.857142857143,1488.0,2026-01-28
135,"Baptiste, Hailey",February 2025,0,2,2,0,2,3,10,28,45,13,30,13,6,31,42,8,8,66,95,-29,9,19,-10,0,2,-2,0,0,0.6222222222222222,0.43333333333333335,0.6666666666666666,,0.46153846153846156,0.7380952380952381,1.0,1882.0,1435.5,2141.0,2362.0,1238.0,2174.5,188.0,1631.5714285714287,2005.0,2026-01-28
136,"Baptiste, Hailey",January 2025,2,5,36,0,20,42,31,209,314,88,183,72,47,206,327,62,62,504,527,-23,73,79,-6,7,8,-1,3,0,0.6656050955414012,0.4808743169398907,0.47619047619047616,1.0,0.6527777777777778,0.6299694189602446,1.0,93.0,2471.5,873.5,2150.0,606.0,1741.0,1072.0,1286.7142857142858,1252.0,2026-01-28
137,"Baptiste, Hailey",January 2026,2,5,17,0,14,44,14,170,260,79,150,39,21,190,294,32,32,395,408,-13,58,61,-3,6,7,-1,1,1,0.6538461538461539,0.5266666666666666,0.3181818181818182,0.5,0.5384615384615384,0.6462585034013606,1.0,442.0,1784.5,873.5,1601.5,762.5,1142.0,2197.0,1257.5714285714287,1190.0,2026-01-28
138,"Baptiste, Hailey",July 2025,3,6,25,0,16,43,21,149,219,98,176,36,20,164,247,49,49,405,411,-6,64,62,2,6,7,-1,1,2,0.680365296803653,0.5568181818181818,0.37209302325581395,0.3333333333333333,0.5555555555555556,0.6639676113360324,1.0,220.5,2201.0,545.0,1262.0,435.0,782.0,1918.5,1052.0,750.0,2026-01-28
139,"Baptiste, Hailey",June 2025,1,4,12,0,11,23,17,109,185,67,122,39,22,125,192,30,30,281,322,-41,41,52,-11,3,6,-3,1,1,0.5891891891891892,0.5491803278688525,0.4782608695652174,0.5,0.5641025641025641,0.6510416666666666,1.0,692.5,2003.0,1358.5,2535.0,1684.0,860.5,1055.0,1455.5,1607.0,2026-01-28
140,"Baptiste, Hailey",March 2025,5,7,33,0,31,70,22,231,329,141,246,52,29,243,381,88,88,630,573,57,102,81,21,12,7,5,1,2,0.7021276595744681,0.573170731707317,0.44285714285714284,0.3333333333333333,0.5576923076923077,0.6377952755905512,1.0,119.0,2238.0,193.5,142.0,242.0,586.5,1351.0,696.0,125.0,2026-01-28
141,"Baptiste, Hailey",May 2025,8,10,46,0,44,124,50,333,488,174,317,74,42,344,589,127,127,919,856,63,141,110,31,18,7,11,6,0,0.6823770491803278,0.5488958990536278,0.3548387096774194,1.0,0.5675675675675675,0.5840407470288624,1.0,38.5,2611.5,27.0,110.5,419.0,864.0,2006.5,868.1428571428571,386.5,2026-01-28
142,"Baptiste, Hailey",October 2025,1,4,13,0,13,30,13,138,207,35,85,34,19,128,195,49,49,304,317,-13,47,51,-4,3,5,-2,0,1,0.6666666666666666,0.4117647058823529,0.43333333333333335,0.0,0.5588235294117647,0.6564102564102564,1.0,622.5,1700.0,1358.5,1601.5,589.0,2276.5,1419.5,1366.7857142857142,1440.0,2026-01-28
